cname,title,exp,edu,loc
(주)에이치알비즈코리아,온라인 게임사 데이터 엔지니어링,경력3년↑,대졸↑,서울 강남구
브리스캔영어쏘시에이츠(주),"금융 데이터 플랫폼개발(데이터 인프라 , 파이프라인 ,서비스)",경력6년↑,대졸↑,경기 성남시 분당구
잡스테이션코리아,데이터 엔지니어 - 유명 스타트업,경력3년↑,초대졸↑,서울 성동구
피앤제이컨설팅,CDO  (Chief Data Officer) 채용,경력10년↑,학력무관,서울 강남구
피앤제이컨설팅,CTO (Chief Technology Officer) 채용,경력10년↑,학력무관,서울 강남구
피앤제이컨설팅,딥러닝 엔지니어 채용,경력 3~10년,학력무관,서울 강남구
(주)HR컨설팅그룹,[대기업IT계열사] 클라우드 개발/상품기획/데이터센터 관리 등,경력 2~12년,대졸↑,서울 금천구
(주)투비파트너즈,[IT 그룹계열사] 클라우드 빅데이터플랫폼 상품개발,경력2년↑,초대졸↑,경기 성남시 분당구
탑커리어인사이트,상장기업 빅데이터플랫폼개발(JAVA)-연봉1억 2천만원,경력5년↑,대졸↑,서울 강남구
(주)핀커스코리아,기간계 분석파트 리더/개발(정규직) - 대기업 SI계열사,경력10년↑,학력무관,서울 강남구
(주)인포마인드,"[빅데이터팀] DataAnalysis, 빅데이터 경력직 모집",경력2년↑,초대졸↑,제주 제주시
(주)퀀텀솔루션,2021년 경력직 모집 - 지능형 플랫폼 소프트웨어 개발,경력5년↑,학력무관,제주 제주시
(주)팀솔루션,2021년 상반기 SW 아키텍트 및 개발자 채용 합니다.,경력무관,학력무관,울산 중구
(주)데이터다이나믹스,자바 및 Python 개발자 모집,신입·경력,초대졸↑,경기 성남시 분당구
제트서브,"미디어 솔루션 (인코딩, 스트리밍, ML/DL 분석) 개발자 모집",신입,대졸↑,서울 강남구
W미디어,Big Data Platform 구축 및 개발 경력자 모십니다,경력5년↑,학력무관,서울 서초구
(주)조인스에이치알코리아,[화성]빅데이터 엔지니어 경력 초빙 공고.,경력5년↑,대졸↑,서울 서초구
(주)조인스에이치알코리아,[화성]빅데이터 엔지니어 경력직 제안드립니다,경력5년↑,대졸↑,서울 서초구
엔에이치엔(주),[NHN] 기술 부문 수시채용 (신입/경력),경력무관,대졸↑,경기 성남시 분당구
엔에이치엔(주),[NHN] 데이터 분석/처리 플랫폼 개발 경력 채용,경력2년↑,대졸↑,경기 성남시 분당구
엔에이치엔(주),[NHN] 데이터 사이언스(데이터 모델링 및 추천모델링) 경력 채용,경력2년↑,대졸↑,경기 성남시 분당구
(주)위메프,[개발]DW Data Engineer(정규직),경력3년↑,학력무관,서울 강남구
(주)위메프,[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직),경력3년↑,학력무관,서울 강남구
(주)모비젠,"2021년 상반기 Java, Oracle, Python 외 경력직 모집 공고",경력5년↑,학력무관,서울 송파구
(주)티몬,[티몬] 빅데이터 엔지니어,경력3년↑,대졸↑,서울 강남구
(주)티몬,[티몬]  추천 시스템 개발자,경력3년↑,대졸↑,서울 강남구
(주)엔에이치엔에이스,[NHN ACE] 데이터 엔지니어 경력 채용,경력2년↑,초대졸↑,경기 성남시 분당구
(주)잡뉴스솔로몬서치,"Big Data Platfom 구축 및 개발 (대리-부장), 서초구",경력5년↑,대졸↑,서울 강남구
(주) 잡뉴스솔로몬서치,"산업용장비제조사 빅데이터 PM (과장-부장급), 동탄",경력 3~15년,대졸↑,서울 강남구
(주)잡뉴스솔로몬서치,석박사및Tensorflow필수 물류설비IOT정비구축 AI데이터분석 대리,경력 8~12년,대졸↑,서울 중구
(주)유비소시어스,빅데이터전문기업 데이터사이언티스트(팀장급),경력10년↑,석사↑,서울 강남구
에버브레인컨설팅(주),[메이저프랜차이즈] D-Center 데이터 사이언티스트(신규채용),경력 4~10년,석사↑,서울 중구
㈜인텔리코드,Machine Learning을 이용한 이상 징후 탐지 시스템  SW 엔지니어,신입·경력,대졸↑,경기 수원시 영통구
에버브레인컨설팅(주),[메이저F&B] 데이터마이닝(석사이상),경력 4~10년,석사↑,서울 중구
HR컨설팅(주),대기업 두바이법인 AA RPA 개발자 대리과장급,경력 4~10년,대졸↑,아시아·중동 아랍에미레이트연합국
HR컨설팅(주),대기업 두바이법인 Data Analyst 사원대리급,경력 1~8년,대졸↑,아시아·중동 아랍에미레이트연합국
(주)마이티하이브한국,"Mightyhive Korea, Lead Technical Solutions Engineer",경력10년↑,대졸↑,서울 중구
